,node,in_degree_weighted,in_degree,out_degree_weighted,out_degree
715,715,-1,7,0,0
716,716,1,1,7,7
717,717,34,38,21,21
718,718,0,10,7,7
719,719,56,62,184,214
720,720,11,11,2,2
721,721,0,0,2,2
722,722,14,16,8,8
723,723,1,5,0,0
724,724,2,2,1,1
725,725,10,18,1,1
726,726,-1,3,3,3
727,727,28,44,197,197
728,728,14,30,-7,7
729,729,2,8,5,5
730,730,-10,38,1,1
731,731,-16,26,-7,7
732,732,57,133,0,0
733,733,-1,49,-1,1
734,734,-3,97,22,22
735,735,5,11,10,12
736,736,1,1,1,1
737,737,1,1,2,2
738,738,0,2,0,2
739,739,5,11,0,2
740,740,0,0,1,1
741,741,2,8,10,10
742,742,2,4,0,14
743,743,1,1,1,1
744,744,-1,17,1,1
745,745,1,5,-2,2
746,746,-18,24,4,4
747,747,14,16,25,27
748,748,-10,26,4,8
749,749,82,162,52,130
750,750,1,5,1,1
751,751,9,21,4,4
752,752,13,31,3,3
753,753,-114,234,48,48
754,754,-23,37,12,12
755,755,-18,18,1,1
756,756,5,21,1,1
757,757,0,0,1,1
758,758,31,77,0,2
759,759,0,8,5,5
760,760,3,5,23,25
761,761,26,36,12,14
762,762,32,32,-6,18
763,763,72,88,133,181
764,764,-3,5,2,2
765,765,0,0,2,2
766,766,1,1,0,0
767,767,2,2,1,1
768,768,1,1,0,2
769,769,3,3,3,3
770,770,1,9,0,0
771,771,0,2,1,1
772,772,-1,3,0,0
773,773,1,1,12,12
774,774,0,4,4,4
775,775,2,22,2,10
776,776,81,89,39,47
777,777,4,34,0,0
778,778,6,8,2,2
779,779,9,13,3,3
780,780,98,100,125,125
781,781,27,29,33,37
782,782,-4,14,0,0
783,783,12,24,0,0
784,784,1,1,0,0
785,785,-1,9,0,0
786,786,4,18,-144,148
787,787,-7,13,-1,1
788,788,-8,14,1,1
789,789,-1,17,1,1
790,790,163,265,-8,12
791,791,-1,1,0,0
792,792,-1,11,0,0
793,793,-47,55,0,0
794,794,-1,1,6,6
795,795,-23,97,1,1
796,796,-4,22,0,0
797,797,7,41,0,0
798,798,-22,30,0,0
799,799,-3,7,0,0
800,800,-2,2,0,0
801,801,5,11,14,14
802,802,-2,8,0,0
803,803,-1,5,3,3
804,804,-52,112,17,31
805,805,-31,53,5,5
806,806,6,38,-1,1
807,807,-14,34,0,0
808,808,0,10,13,15
809,809,-4,4,0,0
810,810,-13,23,2,4
811,811,1,9,1,1
812,812,2,8,0,0
813,813,-34,102,40,40
814,814,10,48,0,0
815,815,-11,15,0,2
816,816,-1,1,9,11
817,817,-4,6,0,0
818,818,34,50,7,11
819,819,4,24,6,8
820,820,-16,52,-5,13
821,821,-11,33,1,1
822,822,5,15,6,6
823,823,-1,1,0,0
824,824,-7,11,0,0
825,825,-29,43,3,3
826,826,-8,70,1,13
827,827,80,80,0,0
828,828,-9,49,0,0
829,829,-20,100,1,1
830,830,-7,17,0,2
831,831,-5,7,0,0
832,832,3,21,0,0
833,833,-2,6,0,0
834,834,-18,28,2,2
835,835,0,6,0,0
836,836,-5,15,0,0
837,837,-17,43,1,1
838,838,0,4,0,0
839,839,-3,11,0,0
840,840,3,9,3,3
841,841,-1,3,0,0
842,842,-10,10,0,0
843,843,-5,35,-7,15
844,844,-9,21,1,1
845,845,1,7,20,20
846,846,5,19,-2,2
847,847,-7,9,-2,8
848,848,-12,24,9,9
849,849,1,27,23,23
850,850,7,9,27,27
851,851,-1,1,0,0
852,852,-12,58,7,7
853,853,-1,1,0,0
854,854,-4,6,-1,5
855,855,-6,6,0,0
856,856,-1,1,0,0
857,857,-9,15,3,3
858,858,-15,31,3,3
859,859,-4,12,3,3
860,860,20,76,-90,108
861,861,9,33,116,116
862,862,-8,36,15,15
863,863,-2,8,2,2
864,864,-1,69,66,66
865,865,-19,25,9,11
866,866,-1,7,2,2
867,867,19,41,13,13
868,868,6,12,5,5
869,869,-1,5,0,0
870,870,-15,23,0,0
871,871,-28,46,7,7
872,872,-4,4,0,0
873,873,-5,15,0,0
874,874,-1,9,1,1
875,875,-4,10,4,4
876,876,30,62,76,76
877,877,-24,42,0,0
878,878,3,5,39,39
879,879,-40,66,10,10
880,880,-113,133,0,0
881,881,-21,61,38,38
882,882,-7,11,0,0
883,883,-1,7,3,3
884,884,2,8,2,4
885,885,-6,6,0,0
886,886,-19,73,8,24
887,887,0,6,5,5
888,888,-26,42,0,0
889,889,31,51,107,107
890,890,-1,1,3,5
891,891,-25,41,0,2
892,892,-8,10,0,0
893,893,0,6,8,8
894,894,-2,6,5,5
895,895,-2,2,0,0
896,896,-18,34,5,5
897,897,-8,10,2,2
898,898,-1,3,0,0
899,899,-1,1,0,0
900,900,0,2,0,0
901,901,-7,15,0,0
902,902,-6,8,1,1
903,903,6,10,-172,210
904,904,-17,21,0,0
905,905,2,24,4,4
906,906,-3,7,11,11
907,907,-2,2,0,0
908,908,-1,1,0,0
909,909,-1,3,0,0
910,910,-5,7,0,0
911,911,-12,28,0,0
912,912,-15,25,0,0
913,913,-7,21,22,22
914,914,-10,12,-1,1
915,915,-2,4,0,0
916,916,-2,2,0,0
917,917,-6,10,0,0
918,918,-5,7,0,0
919,919,7,69,1,21
920,920,-1,3,0,0
921,921,-2,2,0,0
922,922,-4,12,0,0
923,923,-44,50,0,0
924,924,-8,10,0,0
925,925,6,8,-3,19
926,926,30,38,-75,125
927,927,-127,165,0,0
928,928,-39,89,0,0
929,929,39,47,17,17
930,930,-11,17,0,0
931,931,-35,35,1,1
932,932,-4,8,2,2
933,933,40,52,-5,7
934,934,0,4,2,4
935,935,-29,43,0,0
936,936,-94,94,0,0
937,937,1,1,0,0
938,938,-1,1,-3,5
939,939,4,4,3,3
940,940,-60,62,0,0
941,941,-7,7,0,0
942,942,2,4,4,4
943,943,5,9,6,6
944,944,15,19,11,11
945,945,1,1,1,1
946,946,0,0,1,1
947,947,22,46,14,14
948,948,1,1,1,1
949,949,9,51,41,41
950,950,0,0,1,1
951,951,5,5,0,0
952,952,3,3,8,8
953,953,41,63,15,15
954,954,10,10,44,44
955,955,10,10,0,0
956,956,71,167,48,48
957,957,30,30,1,1
958,958,3,3,0,0
959,959,6,8,20,24
960,960,0,0,1,1
961,961,0,0,-1,1
962,962,-34,34,0,0
963,963,11,15,8,8
964,964,-3,7,1,1
965,965,2,4,1,1
966,966,6,94,-117,283
967,967,26,26,4,4
968,968,-2,10,1,3
969,969,-10,14,0,0
970,970,0,0,2,2
971,971,1,1,0,0
972,972,1,1,2,2
973,973,29,51,63,85
974,974,25,37,16,24
975,975,37,39,0,0
976,976,-5,9,3,3
977,977,31,55,26,30
978,978,-1,17,-20,44
979,979,25,25,71,71
980,980,4,4,1,1
981,981,15,15,3,3
982,982,-1,1,0,0
983,983,51,67,1,1
984,984,2,2,1,1
985,985,13,13,15,17
986,986,1,1,1,1
987,987,2,2,0,0
988,988,7,11,2,2
989,989,28,30,0,0
990,990,8,8,-146,162
991,991,3,3,0,0
992,992,9,17,50,56
993,993,40,54,16,16
994,994,88,94,26,40
995,995,5,23,0,0
996,996,63,63,6,6
997,997,-16,164,0,0
998,998,26,64,-95,171
